Type,August 2016,September 2016,October 2016,November 2016,December 2016
"Total urban transit revenue, excluding subsidies (dollars)",277.0,327.8,300.5,302.3,298.1
Total urban transit passenger trips (number),120.3,151.9,142.9,145.5,141.5
